City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Valparaiso,7.02 €,40.97 €,5.85 €,3.51 €,3.51 €,2.01 €,1.40 €,1.05 €,Edit,3.59 €,0.77 €,0.54 €,2.52 €,3.65 €,2.30 €,3.61 €,0.65 €,0.56 €,0.61 €,0.62 €,0.39 €,0.49 €,0.85 €,1.08 €,4.68 €,1.17 €,2.02 €,4.57 €,Edit,0.70 €,25.45 €,0.64 €,1.88 €,9.83 €,3.75 €,"13,456.12 €","15,179.84 €",Edit,110.72 €,0.13 €,30.67 €,Edit,40.97 €,29.27 €,5.85 €,Edit,319.10 €,"5,964.52 €",Edit,40.97 €,27.68 €,49.02 €,69.30 €,Edit,339.48 €,292.65 €,702.36 €,624.32 €,Edit,152.25 €,141.38 €,Edit,519.75 €,4.87,Chile
Augsburg,12.00 €,60.00 €,8.00 €,3.55 €,3.80 €,2.72 €,2.16 €,1.96 €,Edit,3.10 €,1.36 €,0.85 €,2.38 €,3.91 €,3.45 €,5.48 €,1.19 €,0.76 €,0.84 €,1.05 €,0.53 €,0.75 €,0.93 €,0.40 €,4.99 €,0.67 €,1.24 €,6.70 €,Edit,3.00 €,65.00 €,3.10 €,2.57 €,24.00 €,5.67 €,"20,000.00 €","21,125.00 €",Edit,260.71 €,0.10 €,37.79 €,Edit,32.06 €,16.00 €,12.00 €,Edit,352.50 €,"12,500.00 €",Edit,92.33 €,57.00 €,98.00 €,131.90 €,Edit,712.86 €,592.86 €,"1,335.71 €","1,050.00 €",Edit,486.81 €,418.99 €,Edit,"2,165.12 €",1.50,Germany
Bali,1.44 €,24.48 €,4.90 €,2.02 €,3.02 €,1.89 €,1.19 €,0.97 €,Edit,5.54 €,1.13 €,0.39 €,1.57 €,4.39 €,1.32 €,4.18 €,0.74 €,0.67 €,0.91 €,0.41 €,0.77 €,0.52 €,1.16 €,0.40 €,11.52 €,1.60 €,2.09 €,1.53 €,Edit,0.20 €,8.64 €,0.40 €,0.70 €,2.74 €,1.94 €,"30,529.85 €","14,400.87 €",Edit,70.74 €,0.05 €,36.72 €,Edit,49.92 €,12.48 €,3.31 €,Edit,59.52 €,"6,221.18 €",Edit,30.71 €,30.24 €,48.00 €,69.03 €,Edit,255.62 €,160.01 €,669.64 €,360.02 €,Edit,66.21 €,30.63 €,Edit,203.56 €,9.66,Indonesia
Cagliari,12.00 €,50.00 €,8.00 €,4.50 €,3.00 €,1.33 €,2.01 €,0.91 €,Edit,4.03 €,1.62 €,0.83 €,3.33 €,5.70 €,3.60 €,6.41 €,1.07 €,0.67 €,0.91 €,1.21 €,0.53 €,0.56 €,1.38 €,0.42 €,7.00 €,1.17 €,1.81 €,5.20 €,Edit,1.30 €,34.50 €,5.00 €,1.77 €,26.00 €,5.65 €,"22,300.00 €","26,500.00 €",Edit,131.30 €,0.06 €,27.12 €,Edit,41.11 €,15.40 €,8.00 €,Edit,227.50 €,?,Edit,87.86 €,35.71 €,81.25 €,105.43 €,Edit,537.99 €,447.78 €,914.29 €,712.50 €,Edit,252.38 €,162.58 €,Edit,"1,328.57 €",2.39,Italy
Iasi,5.08 €,23.35 €,4.06 €,1.42 €,1.83 €,1.53 €,1.09 €,0.81 €,Edit,3.65 €,0.52 €,0.45 €,2.02 €,2.25 €,1.90 €,2.78 €,0.38 €,0.51 €,0.52 €,0.52 €,0.28 €,0.30 €,0.59 €,0.52 €,4.06 €,0.74 €,1.27 €,4.06 €,Edit,0.51 €,16.24 €,0.51 €,0.82 €,5.08 €,4.02 €,"18,272.12 €","18,942.00 €",Edit,118.33 €,0.09 €,6.63 €,Edit,28.06 €,7.73 €,5.08 €,Edit,263.93 €,"2,953.99 €",Edit,43.58 €,30.18 €,58.74 €,68.75 €,Edit,309.04 €,223.95 €,552.18 €,379.48 €,Edit,132.28 €,91.70 €,Edit,563.26 €,5.64,Romania
Brasov,5.08 €,25.38 €,4.06 €,1.32 €,1.83 €,1.60 €,1.10 €,0.91 €,Edit,3.55 €,0.68 €,0.49 €,1.78 €,2.43 €,2.13 €,3.19 €,0.38 €,0.54 €,0.52 €,0.53 €,0.22 €,0.23 €,0.60 €,0.53 €,4.06 €,0.75 €,1.24 €,4.06 €,Edit,0.51 €,17.26 €,0.47 €,0.73 €,4.45 €,4.19 €,"15,960.00 €","17,317.96 €",Edit,94.84 €,0.03 €,7.43 €,Edit,32.13 €,8.57 €,6.09 €,Edit,186.10 €,"3,297.10 €",Edit,49.57 €,27.39 €,53.55 €,60.69 €,Edit,349.98 €,270.95 €,551.81 €,424.62 €,Edit,129.49 €,98.30 €,Edit,569.75 €,6.02,Romania
Graz,10.00 €,47.50 €,7.95 €,3.85 €,3.50 €,3.13 €,2.53 €,1.75 €,Edit,4.27 €,2.01 €,0.93 €,3.02 €,6.72 €,5.55 €,8.01 €,0.91 €,0.86 €,1.19 €,1.38 €,0.69 €,0.72 €,1.50 €,0.64 €,7.99 €,1.11 €,1.99 €,5.50 €,Edit,2.50 €,50.90 €,3.90 €,2.41 €,30.00 €,4.46 €,"23,460.00 €","21,719.17 €",Edit,251.17 €,0.06 €,33.31 €,Edit,29.74 €,23.28 €,12.00 €,Edit,303.94 €,"7,845.50 €",Edit,87.08 €,30.63 €,84.17 €,145.62 €,Edit,591.00 €,441.43 €,"1,118.75 €",820.67 €,Edit,388.13 €,275.84 €,Edit,"1,958.60 €",1.81,Austria
Trenton,10.82 €,41.60 €,5.82 €,4.37 €,4.99 €,3.43 €,1.66 €,1.25 €,Edit,2.81 €,1.38 €,0.83 €,1.72 €,2.77 €,2.53 €,3.35 €,1.41 €,0.33 €,1.10 €,1.14 €,0.54 €,1.16 €,1.71 €,0.94 €,8.32 €,1.27 €,0.94 €,7.71 €,Edit,1.04 €,41.60 €,3.33 €,2.50 €,22.88 €,2.00 €,"15,684.34 €","14,315.64 €",Edit,125.48 €,0.00 €,59.07 €,Edit,18.71 €,20.80 €,10.82 €,Edit,707.16 €,"21,630.70 €",Edit,30.50 €,22.87 €,50.95 €,74.87 €,Edit,830.91 €,"1,060.74 €","1,150.86 €","1,414.31 €",Edit,127.82 €,36.31 €,Edit,"1,748.76 €",4.13,United States
Kaunas,7.00 €,35.00 €,5.00 €,3.00 €,3.00 €,2.30 €,1.18 €,0.97 €,Edit,3.47 €,0.79 €,0.47 €,1.28 €,2.99 €,1.92 €,3.14 €,0.41 €,0.44 €,0.56 €,0.69 €,0.18 €,0.22 €,1.11 €,0.78 €,5.00 €,1.22 €,1.42 €,3.99 €,Edit,1.00 €,28.00 €,0.80 €,0.97 €,9.50 €,4.43 €,"18,000.00 €","19,530.16 €",Edit,117.28 €,0.06 €,10.05 €,Edit,24.17 €,19.22 €,7.00 €,Edit,331.25 €,"6,257.14 €",Edit,66.58 €,27.13 €,74.68 €,92.42 €,Edit,394.29 €,269.55 €,675.88 €,431.47 €,Edit,202.06 €,124.75 €,Edit,939.80 €,2.53,Lithuania
Mulhouse,10.50 €,47.50 €,8.35 €,4.25 €,3.00 €,2.50 €,2.50 €,1.83 €,Edit,3.34 €,1.21 €,0.88 €,3.65 €,6.35 €,5.29 €,7.71 €,1.51 €,0.83 €,1.36 €,2.04 €,1.00 €,0.60 €,1.00 €,1.00 €,7.00 €,2.00 €,3.17 €,10.00 €,Edit,1.50 €,31.00 €,2.30 €,2.61 €,27.00 €,5.57 €,"15,000.00 €","17,000.00 €",Edit,102.90 €,0.40 €,17.00 €,Edit,35.67 €,20.00 €,9.50 €,Edit,708.33 €,"10,500.00 €",Edit,61.25 €,33.33 €,60.00 €,90.00 €,Edit,417.50 €,360.00 €,770.00 €,917.50 €,Edit,216.77 €,126.97 €,Edit,"1,870.33 €",1.60,France
Lincoln,12.48 €,43.68 €,6.66 €,3.33 €,4.58 €,3.12 €,1.58 €,1.31 €,Edit,2.57 €,1.71 €,0.96 €,1.59 €,5.75 €,5.30 €,6.55 €,1.80 €,0.76 €,1.16 €,1.22 €,0.91 €,1.40 €,1.78 €,2.36 €,7.07 €,1.01 €,1.47 €,4.99 €,Edit,1.46 €,27.66 €,2.50 €,1.92 €,29.12 €,1.96 €,"15,807.05 €","18,302.90 €",Edit,111.01 €,0.17 €,58.59 €,Edit,33.28 €,10.40 €,8.74 €,Edit,679.43 €,?,Edit,37.02 €,30.16 €,61.56 €,77.85 €,Edit,738.25 €,586.41 €,"1,040.15 €","1,105.31 €",Edit,227.36 €,92.42 €,Edit,"2,528.30 €",4.46,United States
Ostrava,5.03 €,23.20 €,5.03 €,1.31 €,1.55 €,1.81 €,1.07 €,0.82 €,Edit,2.37 €,0.84 €,0.70 €,1.48 €,3.38 €,2.53 €,3.74 €,0.58 €,0.53 €,0.63 €,0.92 €,0.33 €,0.30 €,0.87 €,0.47 €,3.87 €,0.69 €,1.21 €,4.47 €,Edit,0.77 €,19.33 €,1.16 €,1.56 €,13.16 €,4.30 €,"17,401.09 €","18,657.84 €",Edit,154.80 €,0.14 €,15.85 €,Edit,32.87 €,7.64 €,6.96 €,Edit,239.75 €,"3,828.24 €",Edit,60.66 €,29.97 €,55.24 €,75.19 €,Edit,356.08 €,255.94 €,596.61 €,439.86 €,Edit,132.41 €,101.19 €,Edit,961.13 €,2.70,Czech Republic
Springfield,7.49 €,41.60 €,6.66 €,3.74 €,4.16 €,3.90 €,1.94 €,1.46 €,Edit,2.63 €,1.49 €,0.88 €,1.13 €,2.99 €,2.13 €,3.62 €,1.08 €,0.56 €,1.28 €,1.31 €,0.66 €,0.87 €,1.33 €,0.79 €,7.49 €,1.87 €,2.49 €,3.95 €,Edit,1.12 €,66.56 €,2.50 €,1.66 €,24.96 €,1.78 €,"16,846.57 €","17,859.19 €",Edit,162.21 €,0.25 €,51.34 €,Edit,14.14 €,16.64 €,9.98 €,Edit,651.69 €,"7,695.54 €",Edit,41.00 €,30.50 €,61.80 €,88.05 €,Edit,496.20 €,517.00 €,783.42 €,772.52 €,Edit,141.31 €,63.49 €,Edit,"2,007.50 €",4.17,United States
Plano,9.98 €,47.42 €,5.91 €,4.16 €,5.82 €,3.19 €,1.49 €,1.16 €,Edit,2.36 €,2.09 €,1.53 €,1.86 €,4.99 €,4.49 €,5.41 €,1.66 €,0.72 €,1.08 €,1.38 €,0.62 €,1.02 €,1.77 €,2.22 €,12.48 €,3.03 €,3.95 €,5.82 €,Edit,2.50 €,66.56 €,1.87 €,1.50 €,?,1.78 €,"14,975.10 €","19,606.29 €",Edit,151.19 €,?,57.30 €,Edit,31.50 €,29.12 €,8.32 €,Edit,827.79 €,"7,071.57 €",Edit,38.58 €,37.44 €,70.19 €,99.14 €,Edit,"1,019.14 €",896.20 €,"2,066.01 €","1,521.28 €",Edit,244.64 €,108.47 €,Edit,"4,101.98 €",3.84,United States
Irvine,12.48 €,64.27 €,7.49 €,5.82 €,6.24 €,3.95 €,1.92 €,1.65 €,Edit,3.05 €,2.88 €,1.83 €,2.70 €,4.37 €,3.89 €,4.51 €,2.08 €,0.56 €,1.18 €,1.87 €,0.83 €,0.83 €,1.30 €,1.53 €,11.65 €,1.73 €,1.39 €,6.66 €,Edit,1.66 €,87.35 €,2.91 €,2.29 €,41.60 €,2.98 €,"20,452.66 €","17,964.46 €",Edit,119.23 €,0.12 €,56.12 €,Edit,27.33 €,30.50 €,14.56 €,Edit,"1,164.73 €","15,529.73 €",Edit,41.57 €,28.52 €,69.67 €,93.30 €,Edit,"1,867.25 €","1,658.99 €","2,942.94 €","2,517.72 €",Edit,434.12 €,377.74 €,Edit,"4,717.55 €",3.96,United States
Constanta,7.11 €,30.45 €,5.08 €,1.42 €,1.83 €,1.80 €,1.11 €,1.37 €,Edit,3.52 €,0.43 €,0.54 €,1.97 €,2.04 €,1.65 €,2.71 €,0.36 €,0.47 €,0.58 €,0.67 €,0.24 €,0.23 €,0.61 €,0.56 €,4.06 €,0.70 €,1.26 €,4.06 €,Edit,0.30 €,16.24 €,0.55 €,0.85 €,4.37 €,4.22 €,"15,960.00 €","21,046.78 €",Edit,98.66 €,0.06 €,7.98 €,Edit,29.94 €,17.46 €,6.09 €,Edit,219.77 €,"3,840.53 €",Edit,63.59 €,35.39 €,66.32 €,67.56 €,Edit,280.69 €,195.92 €,464.23 €,323.51 €,Edit,110.45 €,87.54 €,Edit,540.22 €,6.59,Romania
Haifa,15.39 €,59.00 €,12.83 €,7.18 €,5.77 €,3.01 €,2.37 €,1.69 €,Edit,5.66 €,1.68 €,1.09 €,3.42 €,4.91 €,3.49 €,7.13 €,1.25 €,0.99 €,0.68 €,0.60 €,0.51 €,0.46 €,2.56 €,1.08 €,8.98 €,2.16 €,2.62 €,8.72 €,Edit,1.51 €,54.64 €,6.41 €,2.06 €,22.29 €,5.77 €,"32,065.76 €","34,887.55 €",Edit,162.24 €,0.08 €,22.94 €,Edit,64.26 €,32.02 €,11.29 €,Edit,687.49 €,"5,865.90 €",Edit,82.08 €,49.31 €,95.26 €,112.12 €,Edit,620.65 €,481.70 €,"1,041.04 €",825.16 €,Edit,397.69 €,306.84 €,Edit,"2,197.36 €",3.64,Israel
Davenport,10.82 €,34.94 €,6.45 €,2.29 €,2.91 €,2.50 €,1.18 €,0.98 €,Edit,4.15 €,2.19 €,3.08 €,2.72 €,3.86 €,4.15 €,5.10 €,3.44 €,0.78 €,3.57 €,1.99 €,1.93 €,1.87 €,1.49 €,2.08 €,11.65 €,3.00 €,2.28 €,9.15 €,Edit,0.83 €,24.96 €,2.08 €,1.25 €,15.81 €,1.87 €,"17,054.97 €","17,470.95 €",Edit,113.93 €,?,60.73 €,Edit,31.06 €,0.00 €,9.15 €,Edit,540.77 €,"9,151.45 €",Edit,37.44 €,24.96 €,60.87 €,75.54 €,Edit,737.32 €,734.89 €,"1,081.53 €","1,053.80 €",Edit,108.39 €,83.31 €,Edit,"2,431.79 €",4.30,United States
Rockford,12.48 €,49.92 €,6.66 €,2.91 €,3.74 €,4.16 €,1.80 €,0.94 €,Edit,1.79 €,1.62 €,1.66 €,1.30 €,5.54 €,3.95 €,5.30 €,1.61 €,0.52 €,1.38 €,2.87 €,1.63 €,1.21 €,1.41 €,1.45 €,12.48 €,3.27 €,3.12 €,6.45 €,Edit,?,49.92 €,?,4.16 €,?,2.05 €,"19,550.82 €","17,886.92 €",Edit,175.54 €,0.04 €,59.69 €,Edit,25.79 €,16.64 €,11.13 €,Edit,554.63 €,?,Edit,40.56 €,27.04 €,67.39 €,126.18 €,Edit,568.50 €,540.77 €,"1,275.66 €","1,109.27 €",Edit,?,30.78 €,Edit,"2,227.96 €",4.80,United States
Newark,11.56 €,45.76 €,7.07 €,3.95 €,4.99 €,2.94 €,1.82 €,1.25 €,Edit,3.46 €,2.60 €,1.69 €,2.32 €,5.26 €,2.91 €,4.57 €,1.43 €,0.56 €,1.76 €,1.24 €,0.58 €,0.71 €,2.19 €,1.52 €,12.06 €,1.96 €,2.91 €,7.90 €,Edit,1.66 €,64.48 €,4.16 €,3.60 €,14.06 €,1.96 €,"17,940.59 €","21,575.24 €",Edit,271.42 €,0.10 €,71.27 €,Edit,27.16 €,12.48 €,11.23 €,Edit,526.90 €,"19,966.80 €",Edit,34.94 €,28.62 €,71.19 €,77.37 €,Edit,"1,766.33 €","1,554.20 €","1,507.02 €","1,428.58 €",Edit,233.04 €,99.26 €,Edit,"2,033.29 €",4.54,United States
Shreveport,12.48 €,41.60 €,5.82 €,2.08 €,4.99 €,3.80 €,1.50 €,1.06 €,Edit,2.59 €,1.80 €,1.08 €,1.73 €,2.91 €,2.49 €,3.14 €,0.83 €,0.42 €,0.83 €,0.83 €,0.83 €,0.83 €,1.14 €,1.45 €,7.49 €,1.66 €,2.08 €,5.82 €,Edit,1.66 €,22.88 €,2.91 €,1.66 €,14.56 €,1.68 €,"14,975.10 €","16,822.03 €",Edit,130.65 €,0.08 €,51.03 €,Edit,35.77 €,?,9.15 €,Edit,318.91 €,"6,239.62 €",Edit,29.12 €,26.98 €,56.16 €,78.52 €,Edit,679.43 €,570.93 €,"1,060.74 €","1,044.56 €",Edit,106.31 €,48.68 €,Edit,"1,810.32 €",4.59,United States
Wiesbaden,12.00 €,53.00 €,8.00 €,3.65 €,3.50 €,2.62 €,2.55 €,2.00 €,Edit,2.99 €,1.18 €,0.98 €,2.13 €,3.43 €,2.98 €,4.70 €,1.09 €,0.80 €,0.88 €,1.26 €,0.73 €,0.59 €,0.89 €,0.32 €,5.00 €,0.55 €,1.23 €,7.00 €,Edit,2.75 €,83.85 €,2.90 €,4.67 €,40.20 €,5.67 €,"27,000.00 €","22,500.00 €",Edit,181.06 €,0.11 €,38.75 €,Edit,52.33 €,25.00 €,10.00 €,Edit,510.00 €,"10,000.00 €",Edit,84.50 €,34.00 €,79.15 €,93.17 €,Edit,875.00 €,637.50 €,"1,418.67 €","1,133.33 €",Edit,433.54 €,318.96 €,Edit,"2,125.00 €",2.17,Germany
Katowice,4.39 €,21.95 €,4.39 €,1.54 €,1.54 €,1.66 €,1.12 €,0.91 €,Edit,2.01 €,0.71 €,0.41 €,1.56 €,2.39 €,1.56 €,3.41 €,0.33 €,0.46 €,0.50 €,0.76 €,0.26 €,0.33 €,0.88 €,0.38 €,4.39 €,0.63 €,0.77 €,3.79 €,Edit,0.75 €,28.53 €,1.32 €,0.76 €,8.78 €,4.15 €,"17,249.31 €","16,985.96 €",Edit,126.61 €,0.09 €,11.84 €,Edit,22.04 €,10.19 €,5.49 €,Edit,161.85 €,"5,242.51 €",Edit,81.43 €,34.89 €,63.13 €,92.84 €,Edit,412.27 €,332.42 €,680.76 €,598.74 €,Edit,169.61 €,120.92 €,Edit,694.85 €,4.98,Poland
Aomori,12.48 €,33.29 €,8.32 €,2.50 €,3.33 €,2.50 €,1.66 €,1.66 €,Edit,4.32 €,?,?,3.81 €,27.62 €,?,?,6.91 €,3.45 €,4.83 €,5.52 €,4.14 €,?,1.52 €,0.76 €,11.42 €,2.28 €,?,?,Edit,?,?,5.02 €,?,?,?,?,?,Edit,?,?,?,Edit,?,?,?,Edit,?,?,Edit,?,?,?,?,Edit,?,?,494.75 €,?,Edit,?,?,Edit,"2,664.05 €",?,Japan
Savannah,9.98 €,35.36 €,5.93 €,3.33 €,4.16 €,3.54 €,1.50 €,1.44 €,Edit,2.62 €,1.77 €,1.76 €,2.36 €,4.44 €,3.81 €,3.25 €,1.66 €,0.63 €,1.11 €,1.11 €,1.00 €,1.03 €,1.53 €,1.53 €,8.32 €,1.78 €,3.12 €,5.18 €,Edit,2.08 €,33.28 €,2.08 €,1.90 €,33.28 €,1.84 €,"18,302.90 €","18,302.90 €",Edit,111.35 €,0.12 €,56.10 €,Edit,31.94 €,9.15 €,10.19 €,Edit,542.85 €,"9,151.45 €",Edit,39.70 €,27.87 €,55.95 €,93.07 €,Edit,"1,295.46 €",850.97 €,"1,562.22 €","1,159.43 €",Edit,252.44 €,75.48 €,Edit,"2,260.03 €",4.80,United States
Gatineau,12.18 €,50.76 €,8.12 €,4.40 €,5.41 €,2.91 €,1.49 €,1.28 €,Edit,5.33 €,1.86 €,1.13 €,2.06 €,3.66 €,4.06 €,4.30 €,1.13 €,0.41 €,0.82 €,0.77 €,0.58 €,0.72 €,1.24 €,1.09 €,9.48 €,1.78 €,2.03 €,10.83 €,Edit,2.67 €,66.33 €,2.54 €,1.91 €,16.24 €,2.71 €,"17,597.52 €","16,295.57 €",Edit,101.07 €,0.18 €,49.16 €,Edit,42.19 €,13.54 €,8.80 €,Edit,846.03 €,"3,384.14 €",Edit,37.79 €,27.07 €,64.30 €,84.20 €,Edit,642.99 €,463.14 €,934.02 €,693.75 €,Edit,126.76 €,109.91 €,Edit,"2,124.08 €",3.62,Canada
Windsor,13.54 €,54.15 €,6.77 €,4.06 €,5.08 €,2.95 €,1.56 €,1.41 €,Edit,6.55 €,1.62 €,0.80 €,2.66 €,4.69 €,3.27 €,3.78 €,0.99 €,0.50 €,1.33 €,0.79 €,0.70 €,0.60 €,1.72 €,1.30 €,11.51 €,1.78 €,1.95 €,9.47 €,Edit,2.03 €,55.84 €,2.64 €,3.05 €,23.01 €,2.84 €,"19,628.01 €","17,097.52 €",Edit,94.28 €,0.16 €,51.11 €,Edit,22.56 €,19.63 €,9.48 €,Edit,727.59 €,"7,219.50 €",Edit,39.42 €,35.58 €,74.37 €,80.66 €,Edit,715.50 €,609.15 €,"1,101.73 €","1,087.15 €",Edit,219.97 €,169.21 €,Edit,"1,803.58 €",3.69,Canada
Myrtle-Beach,18.93 €,41.60 €,6.66 €,3.12 €,4.99 €,3.03 €,1.34 €,1.04 €,Edit,3.05 €,2.27 €,1.19 €,1.24 €,4.44 €,2.46 €,4.71 €,1.27 €,0.34 €,0.95 €,1.41 €,0.79 €,0.72 €,0.57 €,0.83 €,9.15 €,2.50 €,3.33 €,4.81 €,Edit,1.87 €,16.64 €,2.91 €,2.33 €,29.12 €,1.67 €,"14,975.10 €","15,668.39 €",Edit,134.67 €,0.17 €,38.43 €,Edit,20.20 €,3.74 €,7.49 €,Edit,623.96 €,?,Edit,34.11 €,24.33 €,66.56 €,62.19 €,Edit,998.34 €,759.15 €,"1,414.31 €","1,081.53 €",Edit,130.34 €,167.43 €,Edit,"2,587.36 €",4.56,United States
Derby,13.79 €,57.48 €,6.32 €,4.02 €,4.08 €,2.87 €,1.35 €,1.08 €,Edit,3.69 €,1.10 €,0.43 €,2.24 €,2.69 €,3.04 €,5.74 €,1.01 €,0.63 €,0.89 €,0.81 €,0.43 €,0.40 €,0.68 €,0.98 €,6.90 €,1.71 €,1.74 €,12.64 €,Edit,3.22 €,60.92 €,3.45 €,2.29 €,16.55 €,5.56 €,"22,990.21 €","21,074.35 €",Edit,219.44 €,0.17 €,33.34 €,Edit,34.49 €,11.78 €,10.35 €,Edit,"1,034.56 €","15,709.97 €",Edit,59.39 €,32.57 €,69.55 €,69.69 €,Edit,641.17 €,521.39 €,862.13 €,806.30 €,Edit,689.05 €,679.20 €,Edit,"2,378.05 €",3.66,United Kingdom
Eugene,10.40 €,41.60 €,6.24 €,4.26 €,4.16 €,3.77 €,1.50 €,1.61 €,Edit,2.42 €,2.16 €,1.69 €,1.96 €,4.91 €,3.39 €,4.97 €,1.45 €,0.72 €,1.45 €,2.13 €,1.08 €,0.98 €,1.50 €,1.12 €,10.73 €,3.06 €,3.10 €,5.82 €,Edit,1.46 €,41.60 €,2.91 €,1.87 €,24.96 €,2.26 €,"16,639.00 €","17,274.44 €",Edit,114.38 €,0.10 €,56.39 €,Edit,28.45 €,0.00 €,7.90 €,Edit,637.48 €,"12,479.25 €",Edit,39.29 €,26.00 €,69.79 €,69.16 €,Edit,912.03 €,766.09 €,"1,561.80 €","1,372.72 €",Edit,261.80 €,176.86 €,Edit,"2,343.03 €",3.97,United States
Gijon,11.50 €,41.50 €,7.00 €,2.10 €,3.25 €,1.58 €,1.89 €,1.18 €,Edit,2.84 €,0.69 €,0.41 €,1.48 €,3.18 €,3.40 €,4.88 €,0.76 €,0.82 €,0.68 €,0.93 €,0.58 €,0.58 €,1.00 €,0.53 €,5.50 €,0.73 €,1.23 €,5.00 €,Edit,1.25 €,40.00 €,3.70 €,1.53 €,25.00 €,4.96 €,"18,500.00 €","22,666.67 €",Edit,111.39 €,0.18 €,43.12 €,Edit,48.00 €,15.33 €,8.00 €,Edit,300.00 €,"7,850.00 €",Edit,80.00 €,35.00 €,67.50 €,100.00 €,Edit,562.50 €,337.50 €,850.00 €,575.00 €,Edit,232.26 €,148.64 €,Edit,"1,336.00 €",2.00,Spain
Craiova,4.06 €,24.36 €,3.45 €,1.22 €,1.62 €,1.36 €,0.98 €,0.90 €,Edit,3.27 €,0.49 €,0.46 €,1.95 €,2.21 €,1.90 €,2.99 €,0.37 €,0.49 €,0.46 €,0.50 €,0.25 €,0.27 €,0.49 €,0.53 €,4.06 €,0.66 €,1.10 €,4.06 €,Edit,0.51 €,13.20 €,0.43 €,0.75 €,4.06 €,4.12 €,"15,960.00 €","17,612.30 €",Edit,109.18 €,0.03 €,6.38 €,Edit,24.23 €,10.26 €,6.09 €,Edit,187.80 €,"3,167.17 €",Edit,47.71 €,29.00 €,60.91 €,68.16 €,Edit,240.87 €,173.36 €,434.38 €,299.69 €,Edit,127.80 €,91.04 €,Edit,563.88 €,6.48,Romania
Plymouth,12.64 €,68.97 €,5.75 €,4.60 €,4.02 €,3.12 €,1.59 €,1.22 €,Edit,3.85 €,0.99 €,0.57 €,2.14 €,3.16 €,3.16 €,3.48 €,1.10 €,0.58 €,1.03 €,1.15 €,0.51 €,0.61 €,0.62 €,0.82 €,8.05 €,2.15 €,2.44 €,12.64 €,Edit,3.45 €,64.37 €,3.45 €,2.39 €,13.79 €,5.17 €,"24,139.72 €","23,564.96 €",Edit,201.52 €,0.16 €,30.61 €,Edit,31.90 €,14.56 €,7.76 €,Edit,536.44 €,?,Edit,68.11 €,37.04 €,71.70 €,70.69 €,Edit,608.52 €,535.24 €,"1,099.22 €",912.42 €,Edit,303.02 €,217.59 €,Edit,"1,982.31 €",3.66,United Kingdom
